mol_no,input,output,parse_status,n_proposals,proposals,any_correct,all_correct,any_correct_topk,all_correct_topk,first_hit_rank,not_common,missed,has_invalid_smiles
3,Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(C3CCN(S(C)(=O)=O)CC3)CC2)cc2nc[nH]c12,CS(=O)(=O)N1CCC(C2CCNCC2)CC1.Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)O)cc2nc[nH]c12,200,3,"[['C1=CC=CC=C1C(=O)N2C(C(=O)N3C(C)c(C)c(C)c4N(C)c4c(C)c(C)c1C', 'C1=CC=CC=C1C(C)C(=O)N2C(C(=O)N3C(C)c(C)c(C)c4N(C)c4C(=O)C1C'], ['C1=CC=CC=C1C(C)C(=O)N2C(C(=O)N3C(C)c(C)c(C)c4N(C)c4C(C)C', 'C1=CC=CC=C1C(OC(=O)N2C(C(C)C(=O)N3C(C)c(C)c(C)c4N(C)c4C)C'], ['C1=CC=CC=C1C(C)C(=O)N2C(C(C)C(=O)N3C(C)c(C)c(C)c4N(C)c4C)C', 'C1=CC=CC=C1C(C)C(=O)N2C(C(C)C(=O)N3C(C)c(C)c(C)c4N(C)c4C)C']]",0,0,0,0,,"['C1=CC=CC=C1C(=O)N2C(C(=O)N3C(C)c(C)c(C)c4N(C)c4c(C)c(C)c1C', 'C1=CC=CC=C1C(C)C(=O)N2C(C(=O)N3C(C)c(C)c(C)c4N(C)c4C(=O)C1C']","['CS(=O)(=O)N1CCC(C2CCNCC2)CC1', 'Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)O)cc2nc[nH]c12']",1
14,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CNC2)nc1N,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CN(C(=O)OC(C)(C)C)C2)nc1N,504,0,[],0,0,0,0,,[],['COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CN(C(=O)OC(C)(C)C)C2)nc1N'],0
29,COC=Cc1cccc(OC)c1OC,COC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.COc1cccc(C=O)c1OC,504,0,[],0,0,0,0,,[],"['COC[P+](c1ccccc1)(c1ccccc1)c1ccccc1', 'COc1cccc(C=O)c1OC']",0
31,CCCN(CCC)C(=O)n1cnc(S(=O)C(C)C)n1,CC(C)S(=O)c1nc[nH]n1.CCCN(CCC)C(=O)Cl,200,3,"[['CCCN(CCC)C(=O)O', 'CCCN(CCC)C(=O)N(C)C(S=O)C(C)C'], ['C1=CC=CC=CC=NC(=O)O', 'C1=CC=CC=CC=NC(=O)S(=O)C(C)C'], ['C(=O)OCC(C)C(C)C(C)C', 'C(=O)N(C)(C)C(C)C(C)C']]",0,0,0,0,,"['CCCN(CCC)C(=O)O', 'CCCN(CCC)C(=O)N(C)C([SH]=O)C(C)C']","['CC(C)S(=O)c1nc[nH]n1', 'CCCN(CCC)C(=O)Cl']",1
33,O=C(c1ccc([N+](=O)[O-])cc1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,O=C(Cl)c1ccc([N+](=O)[O-])cc1.O=C1N[C@@H](c2ccccc2)CN1S(=O)(=O)c1ccc2c(c1)CCN2,200,4,"[['C(=O)N(C)c1ccccc1N(S(=O)(=O)N(C)C]', 'C(=O)N(C)c1ccccc1C(=O)NS(=O)(=O)N(C)C'], ['C(=O)N(c1ccccc1N(S=O)O)c1ccccc1', 'C(=O)N(c1ccccc1N=C=S)c1ccccc1'], ['C(=O)N(c1ccccc1)C(=O)NS(=O)(=O)N(c1ccccc1)C', 'C(=O)N(c1ccccc1)C(=O)N(S(=O)(=O))c1ccccc1'], ['C(=O)N(c1ccccc1N=C=S)C', 'C(=O)N(c1ccccc1)C(=O)NS(=O)(=O)N']]",0,0,0,0,,['C(=O)N(C)c1ccccc1N(S(=O)(=O)N(C)C]'],"['O=C(Cl)c1ccc([N+](=O)[O-])cc1', 'O=C1N[C@@H](c2ccccc2)CN1S(=O)(=O)c1ccc2c(c1)CCN2']",1
35,CCC(C)COC(C)=O,CC(=O)Cl.CCC(C)CO,200,3,"[['CC(=O)C1C=O', 'CC(=O)C(=O)O'], ['C1=CC=COC', 'C(=O)C(=O)C'], ['C1=CC=CO', 'C1=CC=O- (as an ester precursor)']]",0,0,0,0,,['CC(=O)C1C=O'],"['CC(=O)Cl', 'CCC(C)CO']",1
39,Cc1ccc(S(=O)(=O)O)cc1,CC1(N)CCN(C(=O)OC(C)(C)C)CC1,504,0,[],0,0,0,0,,[],['CC1(N)CCN(C(=O)OC(C)(C)C)CC1'],0
76,COc1ccc(C(=O)c2sc(C(C)C)cc2O)cc1,COc1ccc(C(=O)c2sc(C(C)C)cc2OCc2ccccc2)cc1,200,3,"[['COc1ccc(C(=O)c2sc(C(C)C)cc2O)', 'COc1ccc(C(=O)c2cc2)cc1'], ['COc1ccc(C(=O)c2cc1)cc1)', 'COc1ccc(C(=O)c2sc(C(C)C)cc2)cc1'], ['COc1ccc(C(=O)c2cc2)cc1)', 'COc1cc(C(=O)c2sc(C(C)C)cc2)cc1']]",0,0,0,0,,"['COc1ccc(C(=O)c2sc(C(C)C)cc2O)', 'COc1ccc(C(=O)c2cc2)cc1']",['COc1ccc(C(=O)c2sc(C(C)C)cc2OCc2ccccc2)cc1'],1
80,CN(C(=O)OC(C)(C)C)[C@@H](C=O)Cc1ccccc1,CN(C(=O)OC(C)(C)C)[C@@H](CO)Cc1ccccc1,200,3,"[['C1=CC=CC=C1C(=O)N(C)C1=CC=CC=C1C(=O)OC(C)(C)C', 'C1=CC=CC=C1C(=O)C(C)(C)C1'], ['C1=CC=CC=C1C(=O)OC(C)(C)C', 'C1=CC=CC=C1C(=O)N(C)C1'], ['C1=CC=CC=C1C(=O)OC(C)(C)C', 'C1=CC=CC=C1C(=O)OCC1=CC=CC=C1C']]",0,0,0,0,,['C1=CC=CC=C1C(=O)C(C)(C)C1'],['CN(C(=O)OC(C)(C)C)[C@@H](CO)Cc1ccccc1'],1
88,CCN(CC)C(=O)c1ccc(OC)cc1-c1ncccc1C,CCN(CC)C(=O)c1ccc(OC)cc1B(O)O.Cc1cccnc1Br,200,3,"[['CC(=O)O', 'C(=O)N(C)C(=O)C(=O)C'], ['C(=O)N(C)C(=O)C(=O)c1ccccc1C(=O)O', 'C(=O)N(C(=O))C(=O)C(=O)c1ccccc1C'], ['C(=O)C(=O)c1ccncc1C', 'C(=O)C(=O)O']]",0,0,0,0,,"['CC(=O)O', 'CC(=O)C(=O)N(C)C=O']","['CCN(CC)C(=O)c1ccc(OC)cc1B(O)O', 'Cc1cccnc1Br']",0
