run,model_id,mode,thinking,max_new_tokens,data_csv,n_total,n_scored,timestamp,parse_failures_pct,invalid_smiles_pct,mean_proposals,top1_all_correct,top1_any_correct,top1_maxfrag,top1_n_all_correct,top1_n_any_correct,top1_n_maxfrag,topk_all_correct,topk_any_correct,topk_maxfrag,topk_n_all_correct,topk_n_any_correct,topk_n_maxfrag,view,az_model,az_config
uspto_50k_test_250_Olmo-3-7B-Instruct_deepretro_raw,hosted_vllm/allenai/Olmo-3-7B-Instruct,raw,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,10,2026-09-23T16:07:34,0.0,90.0,3.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,,,
uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,10,2026-09-23T16:29:30,0.0,0.0,4.4,50.0,70.0,50.0,5,7,5,60.0,70.0,60.0,6,7,6,hybrid,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,10,2026-09-23T16:29:30,30.0,0.0,3.5,50.0,70.0,50.0,5,7,5,60.0,70.0,60.0,6,7,6,az,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,10,2026-09-23T16:29:30,10.0,0.0,2.7,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,llm,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-23T16:45:24,4.4,0.0,4.224,24.0,32.0,26.8,60,80,67,36.0,47.2,41.6,90,118,104,hybrid,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-23T16:45:24,35.6,0.0,3.308,23.6,30.0,26.0,59,75,65,35.2,44.4,39.6,88,111,99,az,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-23T16:45:24,9.6,0.0,2.708,0.4,5.2,2.0,1,13,5,0.8,8.8,4.4,2,22,11,llm,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-23T17:09:21,4.4,0.0,4.224,24.0,32.0,26.8,60,80,67,36.0,47.2,41.6,90,118,104,hybrid,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-23T17:09:21,35.6,0.0,3.308,23.6,30.0,26.0,59,75,65,35.2,44.4,39.6,88,111,99,az,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-32B_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-32B,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-23T17:09:21,9.6,0.0,2.708,0.4,5.2,2.0,1,13,5,0.8,8.8,4.4,2,22,11,llm,USPTO,/root/workspace/DFS/DeepRetro/../aizynthfinder/models/USPTO/config.yml
